directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
61,61,1846609,,"LINESTRING (17.954133363578624 59.38930664725354, 17.954086288277733 59.389376796997254, 17.954017102041536 59.38940726288422, 17.953917307265176 59.3894343874753, 17.953803808533035 59.38945546043285, 17.95360410820932 59.38948112771, 17.953412072823927 59.38950095099695, 17.9532454803595 59.38951739417759, 17.953108386637698 59.38952766974269, 17.95301558852369 59.389530553092065, 17.952903309772566 59.389527803092)",false
62,62,1846610,,"LINESTRING (17.952903309772566 59.389527803092, 17.95288097463676 59.38952681723107, 17.952759365693616 59.389518877897245, 17.95266672249705 59.38950451364485, 17.95257556711862 59.38947951233686, 17.95250686482475 59.38944571762072, 17.95245633075684 59.3894034871399, 17.952429228764036 59.389360070126955, 17.95241566320695 59.38931126961434, 17.952418025080352 59.38926087741191, 17.952439093690742 59.38921998202683, 17.952488002021475 59.38918057693871, 17.952560569169137 59.389153324142676, 17.952651370512314 59.38913641447615, 17.952927073009548 59.389114481931124, 17.953089300111596 59.38910518290082, 17.953214903310126 59.38910843068773, 17.953327391362134 59.38912412427247, 17.95361070182259 59.389204160158, 17.953772397088905 59.38924904804249, 17.953884887164893 59.38927426611644, 17.95399534897515 59.38929217062898, 17.954133363578624 59.38930664725354)",false
63,63,1848499,,"LINESTRING (17.95265968772644 59.38869880394393, 17.953766992945955 59.38850728932668, 17.954274657947128 59.388428151826616, 17.954419381690187 59.38840278556072, 17.954524786683336 59.3883709416388, 17.95458278512403 59.388345743054536)",false
64,64,1848500,,"LINESTRING (17.95458278512403 59.388345743054536, 17.9546397829075 59.38832098945282, 17.954954592485944 59.38818466595412)",false
65,65,1921228,,"LINESTRING (17.954954592485944 59.38818466595412, 17.955003731503005 59.388347795907954, 17.955049398239822 59.38841623965918, 17.955088044027445 59.38846252163491)",false
66,66,1844774,,"LINESTRING (17.95669536036672 59.39722223773168, 17.956569388680144 59.39725170074117, 17.9564094594586 59.39728335318302, 17.95626280109582 59.39730553902839, 17.956089379204695 59.39732572545022, 17.955900881543432 59.39735186050737, 17.95512389214148 59.39740542118906)",false
67,67,1603148,Arrendevägen,"LINESTRING (17.94763686198282 59.38445764892343, 17.94751163855114 59.38423590584865, 17.94738818861042 59.38401610845059)",false
68,68,1603149,Forskningsringen,"LINESTRING (17.95323962516869 59.38376302136935, 17.953034709525433 59.383765011859076, 17.95266987436384 59.38380759151925, 17.952191453781065 59.3838820000009, 17.951860545974817 59.383941053004456, 17.951407869916828 59.384060389028114)",false
69,69,1603150,Forskargränd,"LINESTRING (17.95323962516869 59.38376302136935, 17.95312232717378 59.38367687096886, 17.95282760775735 59.38345464027379, 17.95267238070402 59.38333760146752)",false
70,70,1603247,Forskargränd,"LINESTRING (17.953193488831428 59.38314866092405, 17.952958583664255 59.38322900437495, 17.95267238070402 59.38333760146752)",false
71,71,1603248,Forskargränd,"LINESTRING (17.95267238070402 59.38333760146752, 17.95219416984233 59.38345038389338, 17.95168614906719 59.38353920916141, 17.9510981215422 59.38359455589835, 17.95104798364597 59.383595241432474)",false
72,72,1603249,Forskargränd,"LINESTRING (17.95104798364597 59.383595241432474, 17.950597959282682 59.38360142776478, 17.950094713909756 59.38354446912091)",false
73,73,1603268,Oxenstiernas Allé,"LINESTRING (17.946305659470358 59.38483372743125, 17.946276111032855 59.38479080487338, 17.945922429639776 59.38420264063545, 17.945839707156964 59.38402052482495)",false
74,74,1603269,Oxenstiernas Allé,"LINESTRING (17.945839707156964 59.38402052482495, 17.94573420994388 59.38378827040767, 17.945666033904125 59.38362043322071)",false
75,75,1603270,Oxenstiernas Allé,"LINESTRING (17.945666033904125 59.38362043322071, 17.945662463382643 59.383611643078154)",false
