directed_id,original_edge_id,nvdb_id,name,geometry,is_reverse
76,76,1603271,Oxenstiernas Allé,"LINESTRING (17.945662463382643 59.383611643078154, 17.945511670260032 59.38324040905714, 17.94546355280765 59.38309207974738)",false
77,77,1603272,Oxenstiernas Allé,"LINESTRING (17.94546355280765 59.38309207974738, 17.94530896730929 59.3826156029303, 17.945186197436406 59.38209410714021)",false
78,78,1603267,Oxenstiernas Allé,"LINESTRING (17.946463134896927 59.385062443594364, 17.946305659470358 59.38483372743125)",false
79,79,1603266,Oxenstiernas Allé,"LINESTRING (17.94688280285674 59.38562994845222, 17.946560670597577 59.38520412055508, 17.946463134896927 59.385062443594364)",false
80,80,1603265,Oxenstiernas Allé,"LINESTRING (17.94706221839791 59.385867130581616, 17.94688280285674 59.38562994845222)",false
81,81,1603264,Oxenstiernas Allé,"LINESTRING (17.947068554114654 59.385875505049334, 17.94706221839791 59.385867130581616)",false
82,82,1603144,Igelbäcksvägen,"LINESTRING (17.95224233099653 59.38554633987245, 17.952195600266233 59.38550827355384)",false
83,83,1603143,Igelbäcksvägen,"LINESTRING (17.952285936259646 59.38558184588681, 17.95224233099653 59.38554633987245)",false
84,84,1603142,Igelbäcksvägen,"LINESTRING (17.952380039652443 59.385646765744546, 17.952300813992508 59.38559396160988, 17.952285936259646 59.38558184588681)",false
85,85,1603141,Igelbäcksvägen,"LINESTRING (17.952721202011684 59.38585760318773, 17.952511642207302 59.38573449795221, 17.952380039652443 59.385646765744546)",false
86,86,1603145,,"LINESTRING (17.952721202011684 59.38585760318773, 17.95278490142836 59.38581496050934, 17.952895780014625 59.385749539507536, 17.952961191484658 59.38568062825344, 17.952923692142907 59.38563085121788, 17.95284776850917 59.385583615737666, 17.952723758538276 59.38555480289748, 17.952585119144107 59.385583165732534, 17.952516967642612 59.385597109472876, 17.952380039652443 59.385646765744546)",false
87,87,1603140,Igelbäcksvägen,"LINESTRING (17.953219459239367 59.38609988616538, 17.952847283714505 59.38593166681735, 17.952721202011684 59.38585760318773)",false
88,88,1603139,Igelbäcksvägen,"LINESTRING (17.953284424724973 59.38612924967584, 17.953219459239367 59.38609988616538)",false
