edge_id,source,target,osm_id,highway,name,maxspeed,oneway,lanes,surface,refs,geometry,is_reverse,length_m,maxspeed_kmh,cost_s,from_cell,to_cell,lca_res
1315,1607524807,1607524808,147543262,service,Ekbacksgränd,20.0,,,,"[1607524807, 10598667356, 1607524784, 1607524808]","LINESTRING (17.9492792 59.367358100000004, 17.948885 59.3674156, 17.9485305 59.3674674, 17.9481696 59.367505900000005)",false,65.01692,20.0,11.703046,612639521770569727,612639521764278271,7
1316,1665508324,2026646217,828566353,secondary_link,,60,yes,,asphalt,"[1665508324, 2026646217]","LINESTRING (17.9450286 59.381215700000006, 17.9451419 59.381329300000004)",false,14.168072,60.0,0.8500843,612639521676197887,612639521672003583,7
1317,1601796190,7982024717,1089847895,residential,Löfströms allé,40,yes,,asphalt,"[1601796190, 9983254883, 7982024717]","LINESTRING (17.956648 59.365250200000006, 17.9565646 59.3653951, 17.9565483 59.365463000000005)",false,24.397232,40.0,2.1957507,612639521770569727,612639521770569727,8
1318,1664537705,1664537742,153814976,service,Majeldsvägen,20.0,,,paved,"[1664537705, 9362941593, 11998002197, 1664537742]","LINESTRING (17.9756247 59.3741446, 17.975697 59.374158200000004, 17.9758096 59.3741794, 17.976114300000003 59.374234300000005)",false,29.473555,20.0,5.3052397,612639521707655167,612639521707655167,8
1319,1676613922,9007082532,155250029,service,,20.0,,,asphalt,"[1676613922, 1676613926, 9007082532]","LINESTRING (17.971058000000003 59.377045300000006, 17.971138500000002 59.376834900000006, 17.971406700000003 59.376805000000004)",false,39.38642,20.0,7.089556,612639521667809279,612639521667809279,8
1320,1685621536,12069720916,729198331,residential,Skogsbacken,30,no,,asphalt,"[1685621536, 12069720916]","LINESTRING (17.977660200000003 59.365567600000006, 17.977717600000002 59.365638700000005)",false,8.54878,30.0,1.0258536,612639521697169407,612639521697169407,8
1321,1687041414,1686965112,1301623006,residential,Skogsbacken,30,no,,asphalt,"[1687041414, 1686965112]","LINESTRING (17.978708700000002 59.3683313, 17.9787718 59.3684123)",false,9.690339,30.0,1.1628406,612639521697169407,612639521697169407,8
1322,1687004431,1687004435,156445992,residential,Stenbrottsgatan,30,,,asphalt,"[1687004431, 8592182186, 1687004416, 8592182198, 1687004435]","LINESTRING (17.9722607 59.366630900000004, 17.971836 59.366694200000005, 17.9718091 59.3666982, 17.9715296 59.3667183, 17.9711471 59.3667457)",false,64.53678,30.0,7.7444134,612639521709752319,612639521709752319,8
1323,9774657562,1687004353,156452177,residential,Bergaliden,30.0,,,asphalt,"[9774657562, 1687041353, 2100774073, 1687004353]","LINESTRING (17.9677642 59.3682139, 17.967796500000002 59.368239800000005, 17.9680356 59.3684875, 17.968264 59.368876900000004)",false,79.297676,30.0,9.515721,612639521705558015,612639521705558015,8
1324,1688168295,1688168281,292093244,tertiary,Tulegatan,40,,,asphalt,"[1688168295, 1688168281]","LINESTRING (17.9657968 59.36761130000001, 17.9658091 59.367578800000004)",false,3.680414,40.0,0.33123726,612639521705558015,612639521705558015,8
1325,1696502510,1696502407,157427914,service,,20.0,,,asphalt,"[1696502510, 1696502407]","LINESTRING (17.9681427 59.362600900000004, 17.968415500000003 59.362817500000006)",false,28.618801,20.0,5.1513844,612639521709752319,612639521709752319,8
1326,1696502633,1696502524,157427925,service,,20.0,,,asphalt,"[1696502633, 1696502524]","LINESTRING (17.967238000000002 59.36288450000001, 17.9677125 59.362732900000005)",false,31.734869,20.0,5.7122765,612639521709752319,612639521709752319,8
1327,1687071175,1687071182,156455969,service,,20.0,,,asphalt,"[1687071175, 1687071182]","LINESTRING (17.978745200000002 59.3694233, 17.978640000000002 59.369213300000006)",false,24.09954,20.0,4.3379173,612639521697169407,612639521697169407,8
1328,1686965136,11998027279,729198333,residential,Skogsbacken,30,no,,asphalt,"[1686965136, 11998027279]","LINESTRING (17.9791269 59.3674837, 17.9791955 59.3675968)",false,13.163042,30.0,1.579565,612639521697169407,612639521697169407,8
1329,1752455006,3253435474,318942817,living_street,Skvadronsbacken,20,,,asphalt,"[1752455006, 10197066262, 10867009737, 10867009736, 10867009735, 3253435473, 10867009738, 3253435474]","LINESTRING (17.943602600000002 59.3742317, 17.9441653 59.3741999, 17.9443541 59.3741751, 17.944578200000002 59.3741665, 17.9448389 59.374167400000005, 17.9449569 59.3741745, 17.945054600000002 59.3742072, 17.945412400000002 59.3743994)",false,113.41952,20.0,20.415514,612639521774764031,612639521774764031,8
1330,1813539262,1813539317,157527156,service,,20.0,,,asphalt,"[1813539262, 1813539286, 2357011553, 1813539317]","LINESTRING (17.9588664 59.3638637, 17.9589536 59.363900400000006, 17.959094200000003 59.3639906, 17.959108200000003 59.364001300000005)",false,20.647213,20.0,3.7164981,612639521770569727,612639521770569727,8
1331,1832074988,3009987242,662718248,tertiary,Landsvägen,40,,1,asphalt,"[1832074988, 8229026337, 6204054252, 3009987243, 3009987242]","LINESTRING (17.974805500000002 59.3582441, 17.9747907 59.3582174, 17.974783000000002 59.3582036, 17.9748021 59.358158, 17.9748541 59.358121000000004)",false,14.92596,40.0,1.3433363,612639521078509567,612639521078509567,8
1332,1859394749,9260419155,1003526638,service,,20.0,,,,"[1859394749, 9808459448, 1859394751, 1859394752, 9260419155]","LINESTRING (17.9538212 59.364524800000005, 17.953721 59.36456930000001, 17.953590600000002 59.36462590000001, 17.9531764 59.364724700000004, 17.9530205 59.364781)",false,53.97733,20.0,9.7159195,612639521770569727,612639521770569727,8
1333,1859394755,1859394756,1116506179,service,,20.0,,,,"[1859394755, 1859394756]","LINESTRING (17.952638800000003 59.3652146, 17.9531595 59.36528620000001)",false,30.55866,20.0,5.500559,612639521770569727,612639521770569727,8
1334,2026646193,2026646201,192096977,residential,Skördegatan,30,,,,"[2026646193, 2026646201]","LINESTRING (17.943493 59.385432, 17.9448672 59.385139)",false,84.36236,30.0,10.123484,612639521672003583,612639521672003583,8
